Datetime,Tweet Id,Text
2022-01-26 21:34:22+00:00,1486452479688683524,"Clara Lionel Foundation and @justinealucas always do incredible work. Grateful for them, @rihanna, and the… https://t.co/Ksprhg9Ywy"
2022-01-26 01:28:13+00:00,1486148940286369797,join 🌀 https://t.co/t6NJvznaDT
2022-01-26 00:54:37+00:00,1486140483390816258,carpe diem https://t.co/QTN2JzehUZ
2022-01-25 22:07:48+00:00,1486098503604576265,@chadQmartin @moneyball 💯
2022-01-25 21:20:38+00:00,1486086632570859526,@INiallAnderson fixed
2022-01-25 21:17:56+00:00,1486085956155363329,https://t.co/EFIJefCCiQ
2022-01-25 21:14:55+00:00,1486085196885774341,hydropowered solo https://t.co/DbQLQwmu4c
2022-01-25 18:58:42+00:00,1486050917787045890,help us make some decisions for the bitcoin hardware wallet we're building... https://t.co/0IJyqx0PKL
2022-01-25 18:27:49+00:00,1486043145720713218,hola 🇪🇸 https://t.co/MGfW0ZCSSe
2022-01-25 16:48:53+00:00,1486018246667030528,@TheBlueMatt what alternative do you recommend? personal server?
2022-01-23 14:49:38+00:00,1485263458551615488,"RT @AfricanBizMag: Four young Africans have joined the board of Btrust, an initiative founded by @jack Dorsey and Jay-Z to promote #bitcoin…"
2022-01-23 00:39:48+00:00,1485049591871557632,RT @milessuter: the mission &gt; the money
2022-01-22 23:25:26+00:00,1485030878531276803,@BrianBrackeen @ArlanWasHere sorry I’m in the unblocked club now
2022-01-21 21:11:19+00:00,1484634738572812292,@pmarca Are ya winning son?
2022-01-21 20:59:24+00:00,1484631739343507461,RT @krystalball: Wowwww. Kudos to all of you who pressured Pelosi on this! We’ll see how serious she is and how many loopholes etc but majo…
2022-01-21 20:23:26+00:00,1484622690124279809,wow this man unblocked me just to make sure I saw the dumbest tweet on the internet https://t.co/GZXFfztj4p
2022-01-20 12:09:34+00:00,1484136016046874630,@Stammy 💯
2022-01-19 20:23:25+00:00,1483897906797101057,RT @Snowden: Beware those who water the gardens of hatred and war.
2022-01-19 12:11:40+00:00,1483774154738393094,RT @gladstein: Shocker
2022-01-19 00:09:39+00:00,1483592454825811969,harmful to anyone that listens to them https://t.co/TxkHEPdUbc
2022-01-18 22:03:10+00:00,1483560622814081025,"The amount of attention @wef receives is inversely proportional to the org’s usefulness.

(it’s useless)"
2022-01-17 16:53:34+00:00,1483120320722751489,RT @TheBlueMatt: People really need to stop blaming email for the fact that Gmail is terrible.
2022-01-16 23:45:29+00:00,1482861598117093381,RT @PierrePoilievre: What is money? https://t.co/xXiBQtcUxJ
2022-01-16 01:39:38+00:00,1482527936762761218,Beautiful conversation  https://t.co/dMLUwEpN6a
2022-01-16 01:28:03+00:00,1482525020559753220,Great questions https://t.co/3l7DKWvdim
2022-01-15 21:02:57+00:00,1482458305528320004,pop! https://t.co/whKDFSbBJ5
2022-01-14 19:58:31+00:00,1482079701925613573,"RT @cashappowen: Filing your taxes should be free.

But everyone up-charges and up-sells every step of the way.

This is bullshit.

Proud a…"
2022-01-13 21:50:22+00:00,1481745463401500676,We’re officially building an open bitcoin mining system ✨ https://t.co/PaNc7gXS48
2022-01-13 01:31:34+00:00,1481438740933447691,"RT @ossoff: Tonight I introduced legislation to ban Members of Congress (and our spouses) from trading stocks. 

3/4 of Americans agree!"
2022-01-12 17:48:02+00:00,1481322091517460491,"RT @RepTomEmmer: Today, I introduced a bill prohibiting the Fed from issuing a central bank digital currency directly to individuals. Here’…"
2022-01-12 15:35:28+00:00,1481288728282869764,"RT @aubreystrobel: Bitcoin’s impact on the environment has been a controversial topic.

I teamed up with @hello_bitcoin to explain the trut…"
2022-01-12 15:34:43+00:00,1481288539736264708,damn Santa didn't take the transitory inflation away https://t.co/P1CFEIQyNV
2022-01-12 12:32:29+00:00,1481242677236707329,@UltraRat3 @esiattorney @MartyBent Email address at end of note is best place to start
2022-01-12 02:01:11+00:00,1481083808824844293,RT @CaitlinLong_: Here's a link to #Wyoming's law protecting open-source software development as speech:
2022-01-11 19:56:00+00:00,1480991905643171845,"RT @jackmallers: 🇦🇷 Welcome, Argentina! 🇦🇷

Today, we launch a superior financial experience to a country that faces hyperinflation, predat…"
2022-01-11 19:36:24+00:00,1480986972462231553,"RT @willwilkinson: Personal news! This week I started an amazing new gig as Head of Policy for @TBD54566975 (yes, it's really called that),…"
2022-01-11 17:16:40+00:00,1480951808445095941,@jordanwynntx @SpeakerPelosi ...no.
2022-01-11 17:07:31+00:00,1480949506585808904,RT @krystalball: KEVIN MCCARTHY getting to the left of Pelosi on this. Great work Dems.
2022-01-11 16:25:08+00:00,1480938839661232129,"RT @BitcoinMagazine: A solo #Bitcoin miner with only 126TH just won a block reward worth 6.25 $BTC (over $260,000).

They beat once-in-a-li…"
2022-01-11 16:16:02+00:00,1480936548858314753,🚩🚩🚩 https://t.co/ZBlkH6fweW
2022-01-11 14:22:48+00:00,1480908054837317638,₿trust is making progress https://t.co/08U9TIBApT
2022-01-11 02:25:19+00:00,1480727492168142848,@willsmith didn’t work…you’re still following
2022-01-11 02:23:42+00:00,1480727087468388356,"@wongmjane too passive, less conversation"
2022-01-11 02:11:28+00:00,1480724006881869827,metric or imperial?
2022-01-11 00:39:36+00:00,1480700886959771649,"living in the future

(happy birthday, mom) https://t.co/aJhyp2cwv9"
2022-01-10 22:49:38+00:00,1480673213210193920,💯 https://t.co/lLLLzyaXg3
2022-01-10 20:43:31+00:00,1480641477957066753,💯 https://t.co/SklxzuMmXr
2022-01-10 20:28:52+00:00,1480637789905506306,👏🏼 https://t.co/rGUfd6UEwP
2022-01-10 20:26:59+00:00,1480637314669989909,Klay’s BACK https://t.co/dvoVOIF2C3
2022-01-10 20:25:52+00:00,1480637035035734021,"RT @andre: I’m excited to announce I’m taking part of my salary in BITCOIN w. Cash App! Bitcoin is the future, @klaythompson and I are both…"
2022-01-10 16:12:06+00:00,1480573170432233482,@allenf32 not precise enough
2022-01-10 14:30:22+00:00,1480547568627200007,https://t.co/5B2jgyqAsM
2022-01-10 13:58:36+00:00,1480539573318991880,https://t.co/BpOh9o9i0x
2022-01-08 05:20:48+00:00,1479684491606212608,"“It seems like we should take notice that from the very beginning, these technologies immediately tended towards ce… https://t.co/S1gS7yms4v"
2022-01-07 18:37:08+00:00,1479522504884506634,RT @ODELL: https://t.co/PcGSnVTjg7
2022-01-07 16:47:43+00:00,1479494969811480579,Built to last: An Open Approach to Financial Freedom https://t.co/HGBAjK0eY8
2022-01-06 01:32:02+00:00,1478902144761843714,@mdudas @opensea ahem
2022-01-05 16:20:30+00:00,1478763345046081539,"RT @brockm: I think there's an argument to be made that the anti-nuclear power movement, has done more to contribute to climate change, by…"
2022-01-05 02:07:04+00:00,1478548570886348802,RT @sonoran_capital: @jack https://t.co/f1oSQRkESK
2022-01-05 01:26:03+00:00,1478538250369314817,RT @davefree: s/o people that ask why?
2022-01-05 01:18:10+00:00,1478536264701853700,@Yoesef block party
2022-01-05 01:03:18+00:00,1478532525312155649,he’s fun at parties https://t.co/7GKtLIc7L7 (copy/private tab/paste if u nasty)
2022-01-04 22:02:57+00:00,1478487138874372102,"Generating more energy, not less, increases quality of life for all ☢️"
2022-01-04 20:57:44+00:00,1478470727456247810,@rabois Miami is the only surprising thing here
2022-01-04 20:51:20+00:00,1478469113953624066,@jebus911 you’re sitting on it too long
2022-01-04 19:03:52+00:00,1478442070805254150,good balanced conversation @PeterAttiaMD https://t.co/xB1btPJBcd
2022-01-04 18:48:03+00:00,1478438089211228171,https://t.co/aZVX70qspp
2022-01-04 18:28:43+00:00,1478433223306842123,great little app: @TheStreaksApp
2022-01-04 17:29:10+00:00,1478418239294160903,@cdixon A good start would be to open source who invests in you
2022-01-04 01:47:23+00:00,1478181229971349508,@brianrumao (or companies)
2022-01-04 01:46:44+00:00,1478181068008218625,@brianrumao I'm all for that. Not for repeating the mistake of VCs owning it.
2022-01-03 18:24:02+00:00,1478069658687266818,https://t.co/SLeJgplNBP
2022-01-03 16:35:48+00:00,1478042421372272641,RT @btcdirdotorg: Happy birthday #Bitcoin 🧡 https://t.co/VaaxTbeeaS
2022-01-03 16:14:18+00:00,1478037009574858754,centralization begetts different centralization
2022-01-03 15:41:53+00:00,1478028853654212614,@cdixon now do your LPs
2022-01-02 20:52:21+00:00,1477744597975638023,@GoingParabolic this is the way
2022-01-01 00:00:03+00:00,1477067054767345669,+1
2021-12-30 17:25:22+00:00,1476605342301802500,"RT @fountain_app: Supporting podcasts using the Bitcoin Lightning Network is less than 1 year old - but it’s working.

Over 3500 podcasts a…"
2021-12-30 00:29:24+00:00,1476349666832920576,Great interview with Mike on the history and future of Bitcoin at Block. He’s the biggest reason we (and I) have ha… https://t.co/WTWyMZbUwB
2021-12-29 18:14:27+00:00,1476255308376907778,Bitcoin and ⚡️ for activists https://t.co/m3DevlzByx
2021-12-29 04:04:26+00:00,1476041392359096322,https://t.co/qYPB1Y4WV1
2021-12-28 20:55:13+00:00,1475933377622650891,RT @AlexUlrichh: A little piece of advice from Kendrick Lamar  https://t.co/hqUQLTda7X
2021-12-24 16:44:24+00:00,1474420706989555717,RT @nickgillespie: 'It's a human right to be able to see how that technology works and modify it. It’s as key to freedom as freedom of spee…
2021-12-24 07:18:20+00:00,1474278251296088082,RT @Snowden: Insisting that Assange is somehow “not a journalist” does nothing to take the teeth out of this precedent when the activities…
2021-12-24 07:05:47+00:00,1474275093912117266,@davidbyttow system/real-time
2021-12-24 06:20:04+00:00,1474263588651126788,rust is a perfect programming language
2021-12-23 19:29:08+00:00,1474099774764822530,@engvestor @nickcald can one truly see the tweets of one who doesn't tweet?
2021-12-23 14:19:37+00:00,1474021882202570753,"RT @nic__carter: An internet where users run their own servers, have genuine digital property rights, have seamless internet native payment…"
2021-12-23 14:02:03+00:00,1474017460370255883,@elonmusk @BillyM2k @gladstein @rahilla @farokh @TheSmarmyBum Meaningful break aways from the corporate establishme… https://t.co/hIrTyvW4Zs
2021-12-23 06:12:12+00:00,1473899219773755397,@jeffseibert Meanwhile in simulation #3…
2021-12-23 05:38:20+00:00,1473890695463243777,"From a16z website: 

“We aim to connect entrepreneurs, investors, executives, engineers, academics, industry expert… https://t.co/BKnY9N6mUp"
2021-12-23 05:29:27+00:00,1473888460100575239,@samkazemian @TheSmarmyBum @rahilla @farokh @ethereum You’re missing all the points. I’m telling you I’ve learned f… https://t.co/ET96nCfp8Q
2021-12-23 05:26:51+00:00,1473887809211711491,"@rahilla @farokh @samkazemian @TheSmarmyBum @ethereum I’m not anti ETH. I’m anti-centralized, VC-owned, single poin… https://t.co/NwekZ8VpbU"
2021-12-23 05:20:07+00:00,1473886113190273031,@agarwal Life is too short
2021-12-23 05:08:34+00:00,1473883204801245184,@samkazemian @TheSmarmyBum @farokh Scroll up
2021-12-23 04:58:36+00:00,1473880697815420929,"@samkazemian @TheSmarmyBum @farokh I care only about decentralized, secure, private foundations without single poin… https://t.co/PdkgPY15qI"
2021-12-23 04:55:13+00:00,1473879848091332608,@LarrotizPablo @elonmusk Yes I do. And there are both risks and people trying to take advantage which you want to be aware of.
2021-12-23 04:31:52+00:00,1473873968746672130,@TheSmarmyBum @farokh 💯 be aware of what’s happening around you
2021-12-23 04:30:23+00:00,1473873597101977600,@farokh I promise this is a fight against the “rich dudes” taking advantage of people like you who should own it all
2021-12-23 04:25:37+00:00,1473872396461477892,"@einarvollset @cdixon Know who owns what, and what incentivizes them. That’s all."
2021-12-23 04:24:36+00:00,1473872142685155333,@einarvollset @cdixon Worst thing we did. I wasn’t running company at the time. Company has worked hard and will co… https://t.co/KBcM90rYWY
2021-12-23 03:53:52+00:00,1473864409260834819,@austin_rief I just want a hug in the metaverse™️
2021-12-23 03:52:05+00:00,1473863959744819200,RT @pesa_africa: 📣 Meet the 4 Africans that ex-Twitter CEO @jack appointed to oversee his Bitcoin Trust Fund to facilitate the development…
2021-12-23 03:49:24+00:00,1473863284889690113,@loganbartlett https://t.co/4hFbIHGERr
2021-12-23 00:34:38+00:00,1473814269296848899,@tyler And I will still appreciate you through Cameron
2021-12-23 00:27:50+00:00,1473812556443787266,@Jason It’s time to block
2021-12-23 00:13:47+00:00,1473809023719849989,@johnbattelle @a16z when’s a good time for you?
2021-12-23 00:00:58+00:00,1473805797666824199,"RT @CobraBitcoin: Crypto projects now: millions of venture capital backing, marketing team, pay exchanges to list, flashy websites with ani…"
2021-12-22 23:45:54+00:00,1473802006355582977,this mission statement has always felt so…dark https://t.co/82hFvTd7fO
2021-12-22 23:36:59+00:00,1473799761438326790,"“we invest in software eating the world”

*web"
2021-12-22 23:14:27+00:00,1473794091452612611,RT @opencryptoorg: COPA just won its first hearing against Craig: https://t.co/fThCdz5Xjj. Interesting read. Why did he try to get the cour…
2021-12-22 21:16:09+00:00,1473764319393427476,@mdudas @wongmjane Hm. I didn’t unfollow you.
2021-12-22 18:41:36+00:00,1473725424387694601,I’m officially banned from web3 https://t.co/RrEIAuqE6f
2021-12-22 15:57:15+00:00,1473684066792878081,@mikec2113 @CashApp 🤘🏼
2021-12-22 05:34:23+00:00,1473527315116306432,@HYPEBEAST “Don’t look right”
2021-12-22 05:20:31+00:00,1473523826357112832,@DavidSacks I wouldn’t worry too much…seems it’s only against you.
2021-12-22 05:09:42+00:00,1473521102643240960,@chainyoda @asemota @aeyakovenko @mdudas Exactly
2021-12-22 05:06:59+00:00,1473520418359283713,@PetesGuide @DavidSacks Terrible you have to tap one more time to get that retweet button!
2021-12-22 04:49:22+00:00,1473515987320328196,Only truth left in the world is surf films @theSURFnetwork
2021-12-22 04:48:56+00:00,1473515879312801793,@MartyBent Metaphors distract
2021-12-22 04:38:15+00:00,1473513190512336900,@cz_binance Words.
2021-12-22 04:12:58+00:00,1473506824741601288,"The VCs are the problem

*not the people"
2021-12-22 03:42:19+00:00,1473499113211707397,@matthewstoller Never
2021-12-22 03:28:53+00:00,1473495734284689411,"RT @notgrubles: People truly interested in a different more decentralized web, all without stupid premined tokens that line rich VC's pocke…"
2021-12-22 00:32:55+00:00,1473451450034540550,@JeremyRubin Haaaa
2021-12-22 00:11:23+00:00,1473446029840297992,https://t.co/m9kb5mtXCS
2021-12-21 23:54:43+00:00,1473441836131835912,@D_Twitt3r @TheStalwart I follow Mike
2021-12-21 23:52:40+00:00,1473441319557251074,@beaniemaxi *gn capital
2021-12-21 23:00:04+00:00,1473428081113190400,@micsolana I’m concerned to see “the industry” be distracted under false pretenses when we could all be working on… https://t.co/NcR7nFtiXo
2021-12-21 20:31:25+00:00,1473390675538452494,@JeremyRubin Correct
2021-12-21 20:26:29+00:00,1473389430002049039,@DavidSacks @mysteriouskat Not clear you have a real point
2021-12-21 19:51:43+00:00,1473380683896737813,💯 https://t.co/YaEO5tLlWl
2021-12-21 19:23:40+00:00,1473373623947771910,@DavidSacks @mysteriouskat Your interpretation is wrong
2021-12-21 19:19:02+00:00,1473372456232656901,@bradmillscan @laurenceaderemi 💯
2021-12-21 18:47:18+00:00,1473364470315507720,@gfodor @balajis @bluesky it will ship.
2021-12-21 18:34:23+00:00,1473361222825299974,@balajis All false. Twitter started as a corporation. It's had corporate incentives from day 1. It's trying to offs… https://t.co/KdxpqbhxtW
2021-12-21 15:59:00+00:00,1473322116804079616,21/12/21
2021-12-21 14:07:29+00:00,1473294054834286595,@ErikVoorhees https://t.co/OkrVXRzQwe
2021-12-21 06:04:26+00:00,1473172490792882178,@iBobbyShell Done: @btrustteam
2021-12-21 05:59:44+00:00,1473171307084795906,@beeple WEB16
2021-12-21 05:57:24+00:00,1473170719097987073,@Chad_Hurley Charlotte’s only
2021-12-21 05:37:41+00:00,1473165759224463360,@elonmusk It’s somewhere between a and z
2021-12-21 05:21:46+00:00,1473161753106210823,@cdixon I believe in you and your ability to understand systems. It’s critical we focus our energy on truly secure… https://t.co/4iNWL9znv7
2021-12-21 05:16:22+00:00,1473160393686138881,@samkazemian @JacobPPhillips Words
2021-12-21 05:07:17+00:00,1473158106960080896,@DavidChoiMusic @cdixon ? I was never a fund
2021-12-21 05:02:20+00:00,1473156861155237891,"@mdudas It doesn’t have to be sound money.

We have that covered now."
2021-12-21 05:01:03+00:00,1473156537724116992,@antoniogm I’m giving it all back.
2021-12-21 04:55:50+00:00,1473155226194616325,@cdixon You’re a fund determined to be a media empire that can’t be ignored…not Gandhi.
2021-12-21 04:36:23+00:00,1473150332045770753,"@santisiri No it’s not, and no it’s not. Twitter is advancing a protocol not owned by itself or VCs, @bluesky"
2021-12-21 04:29:11+00:00,1473148520261685248,@aeyakovenko @mdudas Keep telling yourself that’s what this is
